Node	ID	X	Y 
 UE	180	1912.1	1617.59
 UE	181	1500.2	1506.94
 UE	182	1188.35	602.95
 UE	183	828.94	1504.4
 UE	184	1669.17	1403.23
 UE	185	1066.39	608.52
 UE	186	1689.47	1217.11
 UE	187	1716.71	769.87
 UE	188	1541.87	1418.15
 UE	189	639.72	710.78
 UE	190	1541.87	1418.15
 UE	191	1791.44	897.8
 UE	192	1500.2	1506.94
 UE	193	949.65	1291.42
 UE	194	1188.35	602.95
 UE	195	1498.35	1505.95
 UE	196	723.89	1132.37
 UE	197	1188.35	602.95
 UE	198	821.27	1173.83
 UE	199	1669.17	1403.23
 UE	200	1669.17	1403.23
 UE	201	1790.54	899.7
 UE	202	1541.87	1418.15
 UE	203	717.84	957.02
 UE	204	1257.92	1091.44
 UE	205	1300.26	982.42
 UE	206	1414.37	883.81
 UE	207	905.78	1010.33
 UE	208	949.65	1291.42
 UE	209	1791.44	897.8
 UE	210	1898.51	1277.67
 UE	211	1912.1	1617.59
 UE	212	640.97	707.84
 UE	213	1010.78	739.64
 UE	214	1631.54	901.6
 UE	215	828.94	1504.4
